#,_id,last_scraped_date,symbol,valid
67,6735ea2f285bedc0955a4aba,11/14/2024,KULT,true
68,6735ea2f285bedc0955a4abb,11/14/2024,KVAS,true
69,6735ea2f285bedc0955a4abc,11/14/2024,LAJO,true
70,6735ea2f285bedc0955a4abd,11/14/2024,LHND,true
71,6735ea2f285bedc0955a4abe,11/14/2024,LOTO,true
72,6735ea2f285bedc0955a4abf,11/14/2024,LOZP,true
73,6735ea2f285bedc0955a4ac0,,M010428,false
74,6735ea2f285bedc0955a4ac1,,M010428D,false
75,6735ea2f285bedc0955a4ac2,,M010931D,false
76,6735ea2f285bedc0955a4ac3,,M011133D,false
77,6735ea2f285bedc0955a4ac4,,M011231D,false
78,6735ea2f285bedc0955a4ac5,,M011237,false
79,6735ea2f285bedc0955a4ac6,,M020126,false
80,6735ea2f285bedc0955a4ac7,,M020127,false
81,6735ea2f285bedc0955a4ac8,,M021132D,false
82,6735ea2f285bedc0955a4ac9,,M030337,false
83,6735ea2f285bedc0955a4aca,,M030338,false
84,6735ea2f285bedc0955a4acb,,M031131D,false
85,6735ea2f285bedc0955a4acc,,M031230D,false
86,6735ea2f285bedc0955a4acd,,M031235D,false
87,6735ea2f285bedc0955a4ace,,M040336,false
88,6735ea2f285bedc0955a4acf,,M040532D,false
89,6735ea2f285bedc0955a4ad0,,M040630D,false
90,6735ea2f285bedc0955a4ad1,,M040837,false
91,6735ea2f285bedc0955a4ad2,,M040837D,false
92,6735ea2f285bedc0955a4ad3,,M040838,false
93,6735ea2f285bedc0955a4ad4,,M041224,false
94,6735ea2f285bedc0955a4ad5,,M050325,false
95,6735ea2f285bedc0955a4ad6,,M050836,false
96,6735ea2f285bedc0955a4ad7,,M050939,false
97,6735ea2f285bedc0955a4ad8,,M051032D,false
98,6735ea2f285bedc0955a4ad9,,M051125,false
99,6735ea2f285bedc0955a4ada,,M051234D,false
100,6735ea2f285bedc0955a4adb,,M060432D,false
101,6735ea2f285bedc0955a4adc,,M060629,false
102,6735ea2f285bedc0955a4add,,M060639,false
103,6735ea2f285bedc0955a4ade,,M060732D,false
104,6735ea2f285bedc0955a4adf,,M060825D,false
105,6735ea2f285bedc0955a4ae0,,M060830D,false
106,6735ea2f285bedc0955a4ae1,,M060850D,false
107,6735ea2f285bedc0955a4ae2,,M070329,false
108,6735ea2f285bedc0955a4ae3,,M070339,false
109,6735ea2f285bedc0955a4ae4,,M070426D,false
110,6735ea2f285bedc0955a4ae5,,M070530D,false
111,6735ea2f285bedc0955a4ae6,,M070633,false
112,6735ea2f285bedc0955a4ae7,,M070932D,false
113,6735ea2f285bedc0955a4ae8,,M070938,false
114,6735ea2f285bedc0955a4ae9,,M070938D,false
115,6735ea2f285bedc0955a4aea,,M071134,false
116,6735ea2f285bedc0955a4aeb,,M071232D,false
117,6735ea2f285bedc0955a4aec,,M080229,false
118,6735ea2f285bedc0955a4aed,,M080239,false
119,6735ea2f285bedc0955a4aee,,M080333D,false
120,6735ea2f285bedc0955a4aef,,M080632D,false
121,6735ea2f285bedc0955a4af0,,M080731D,false
122,6735ea2f285bedc0955a4af1,,M080834D,false
123,6735ea2f285bedc0955a4af2,,M080839,false
124,6735ea2f285bedc0955a4af3,,M081030D,false
125,6735ea2f285bedc0955a4af4,,M090238,false
126,6735ea2f285bedc0955a4af5,,M090332D,false
127,6735ea2f285bedc0955a4af6,,M090631D,false
128,6735ea2f285bedc0955a4af7,,M090725,false
129,6735ea2f285bedc0955a4af8,,M090725D,false
130,6735ea2f285bedc0955a4af9,,M090730D,false
131,6735ea2f285bedc0955a4afa,,M090833D,false
132,6735ea2f285bedc0955a4afb,,M090937,false
133,6735ea2f285bedc0955a4afc,,M090937D,false
134,6735ea2f285bedc0955a4afd,,M100526,false
135,6735ea2f285bedc0955a4afe,,M100539,false
136,6735ea2f285bedc0955a4aff,,M100832D,false
137,6735ea2f285bedc0955a4b00,,M110128,false
138,6735ea2f285bedc0955a4b01,,M110133D,false
139,6735ea2f285bedc0955a4b02,,M110139,false
140,6735ea2f285bedc0955a4b03,,M110226,false
141,6735ea2f285bedc0955a4b04,,M110226D,false
142,6735ea2f285bedc0955a4b05,,M110231D,false
143,6735ea2f285bedc0955a4b06,,M110538,false
144,6735ea2f285bedc0955a4b07,,M110739,false
145,6735ea2f285bedc0955a4b08,,M120132D,false
146,6735ea2f285bedc0955a4b09,,M120138,false
147,6735ea2f285bedc0955a4b0a,,M120230D,false
148,6735ea2f285bedc0955a4b0b,,M120325,false
149,6735ea2f285bedc0955a4b0c,,M120330D,false
150,6735ea2f285bedc0955a4b0d,,M120439,false
151,6735ea2f285bedc0955a4b0e,,M120439D,false
152,6735ea2f285bedc0955a4b0f,,M120537,false
153,6735ea2f285bedc0955a4b10,,M130137,false
